,False Positive Rate,True Positive Rate
139,0.029507133592736705,0.2920353982300885
140,0.029507133592736705,0.29301868239921336
141,0.029831387808041506,0.29301868239921336
142,0.029831387808041506,0.2969518190757129
143,0.030155642023346304,0.2969518190757129
144,0.030155642023346304,0.3008849557522124
145,0.030804150453955903,0.3008849557522124
146,0.030804150453955903,0.30186823992133727
147,0.0314526588845655,0.30186823992133727
148,0.0314526588845655,0.3048180924287119
149,0.032101167315175094,0.3048180924287119
150,0.032101167315175094,0.30678466076696165
151,0.03339818417639429,0.30678466076696165
152,0.03339818417639429,0.31268436578171094
153,0.03372243839169909,0.31268436578171094
154,0.03372243839169909,0.31465093411996065
155,0.03501945525291829,0.31465093411996065
156,0.03501945525291829,0.3166175024582104
157,0.035343709468223086,0.3166175024582104
158,0.035343709468223086,0.32055063913470994
